UserID;Gender;Age;CAP;Work;CAP_puliti.Provincia
1;F;11;20023;Studente;MI
42;M;14;20023;Studente;MI
199;M;63;20023;Data Analyst;MI
245;M;54;20023;Attore;MI
281;F;55;20023;Disoccupato;MI
381;M;64;20023;Programmatore;MI
448;M;65;20023;Programmatore;MI
484;F;37;20023;Studente;MI
605;F;14;20023;Studente;MI
645;M;32;20023;Impiegato;MI
738;M;49;20023;Programmatore;MI
778;M;20;20023;Programmatore;MI
819;M;45;20023;Data Engineer;MI
924;M;61;20023;Programmatore;MI
1076;F;58;20023;Direttore;MI
1087;M;31;20023;Attore;MI
1195;F;64;20023;Studente;MI
1199;M;58;20023;Architetto;MI
1224;M;48;20023;Architetto;MI
1293;M;53;20023;Insegnante;MI
1744;M;45;20023;Avvocato;MI
1761;M;38;20023;Disoccupato;MI
2101;M;45;20023;Attore;MI
2195;M;20;20023;Studente;MI
2449;M;37;20023;Architetto;MI
2456;M;36;20023;Insegnante;MI
2484;M;39;20023;Insegnante;MI
2606;M;18;20023;Data Engineer;MI
2847;M;58;20023;Data Analyst;MI
2914;M;55;20023;Data Analyst;MI
3049;F;15;20023;Studente;MI
3095;F;33;20023;Direttore;MI
3174;F;31;20023;Ingegnere;MI
3200;F;11;20023;Studente;MI
3201;M;23;20023;Data Engineer;MI
3274;M;10;20023;Studente;MI
3311;M;45;20023;Data Analyst;MI
3391;M;25;20023;Data Analyst;MI
3404;M;36;20023;Dottore;MI
3435;M;60;20023;Dirigente;MI
3498;M;25;20023;Programmatore;MI
3659;M;39;20023;Data Analyst;MI
3704;F;63;20023;Disoccupato;MI
3801;M;58;20023;Avvocato;MI
3928;M;14;20023;Studente;MI
4038;M;10;20023;Studente;MI
4139;M;57;20023;Ingegnere;MI
4176;M;18;20023;Data Engineer;MI
4179;F;49;20023;Impiegato;MI
4582;F;29;20023;Disoccupato;MI
4693;M;52;20023;Dirigente;MI
4794;F;44;20023;Disoccupato;MI
4857;M;61;20023;Ingegnere;MI
5187;M;9;20023;Studente;MI
5367;M;21;20023;Data Analyst;MI
5599;M;32;20023;Data Engineer;MI
5719;M;9;20023;Studente;MI
5802;F;20;20023;Disoccupato;MI
5863;F;34;20023;Ingegnere;MI
5946;F;20;20023;Dirigente;MI
24;F;43;35031;Data Engineer;PD
88;F;65;35031;Dirigente;PD
162;F;9;35031;Studente;PD
254;M;33;35031;Programmatore;PD
489;M;64;35031;Data Analyst;PD
614;M;35;35031;Dirigente;PD
656;F;23;35031;Attore;PD
782;M;61;35031;Dirigente;PD
884;M;50;35031;Studente;PD
889;M;41;35031;Impiegato;PD
970;M;40;35031;Disoccupato;PD
989;M;49;35031;Disoccupato;PD
1049;M;48;35031;Ingegnere;PD
1154;F;14;35031;Studente;PD
1190;M;22;35031;Disoccupato;PD
1227;M;55;35031;Dirigente;PD
1342;M;55;35031;Disoccupato;PD
1356;F;21;35031;Data Analyst;PD
